"X,Y,fid,id,left,top,right,bottom,row_index,col_index,lon,lat"
"99.067633844354,18.7378035140935,96,151,507029.5313,2071917.75,507229.5313,2071717.75,26,4,99.067633844354,18.7378035140935"
"99.0678163434464,18.7362485051968,97,152,507029.5313,2071717.75,507229.5313,2071517.75,27,4,99.0678163434464,18.7362485051968"
"99.0685604742372,18.7350767940021,98,153,507029.5313,2071517.75,507229.5313,2071317.75,28,4,99.0685604742372,18.7350767940021"
"99.0695973006931,18.7791187203823,99,159,507229.5313,2076517.75,507429.5313,2076317.75,3,5,99.0695973006931,18.7791187203823"
"99.0695474229859,18.7775696422285,100,160,507229.5313,2076317.75,507429.5313,2076117.75,4,5,99.0695474229859,18.7775696422285"
"99.0695466815343,18.7757620630217,101,161,507229.5313,2076117.75,507429.5313,2075917.75,5,5,99.0695466815343,18.7757620630217"
"99.0695459401674,18.7739544834657,102,162,507229.5313,2075917.75,507429.5313,2075717.75,6,5,99.0695459401674,18.7739544834657"
"99.0695451988851,18.7721469035605,103,163,507229.5313,2075717.75,507429.5313,2075517.75,7,5,99.0695451988851,18.7721469035605"
"99.0695444576874,18.770339323306,104,164,507229.5313,2075517.75,507429.5313,2075317.75,8,5,99.0695444576874,18.770339323306"
"99.0695437165742,18.7685317427024,105,165,507229.5313,2075317.75,507429.5313,2075117.75,9,5,99.0695437165742,18.7685317427024"
"99.0695429755457,18.7667241617496,106,166,507229.5313,2075117.75,507429.5313,2074917.75,10,5,99.0695429755457,18.7667241617496"
"99.0695422346018,18.7649165804477,107,167,507229.5313,2074917.75,507429.5313,2074717.75,11,5,99.0695422346018,18.7649165804477"
"99.0695414937424,18.7631089987966,108,168,507229.5313,2074717.75,507429.5313,2074517.75,12,5,99.0695414937424,18.7631089987966"
"99.0695407529676,18.7613014167965,109,169,507229.5313,2074517.75,507429.5313,2074317.75,13,5,99.0695407529676,18.7613014167965"
"99.0695400122774,18.7594938344474,110,170,507229.5313,2074317.75,507429.5313,2074117.75,14,5,99.0695400122774,18.7594938344474"
"99.0695392716718,18.7576862517492,111,171,507229.5313,2074117.75,507429.5313,2073917.75,15,5,99.0695392716718,18.7576862517492"
"99.0695385311508,18.755878668702,112,172,507229.5313,2073917.75,507429.5313,2073717.75,16,5,99.0695385311508,18.755878668702"
"99.0695377907143,18.7540710853059,113,173,507229.5313,2073717.75,507429.5313,2073517.75,17,5,99.0695377907143,18.7540710853059"
"99.0695370503624,18.7522635015608,114,174,507229.5313,2073517.75,507429.5313,2073317.75,18,5,99.0695370503624,18.7522635015608"
"99.069536310095,18.7504559174669,115,175,507229.5313,2073317.75,507429.5313,2073117.75,19,5,99.069536310095,18.7504559174669"
"99.0695355699122,18.7486483330241,116,176,507229.5313,2073117.75,507429.5313,2072917.75,20,5,99.0695355699122,18.7486483330241"
"99.0695348298139,18.7468407482324,117,177,507229.5313,2072917.75,507429.5313,2072717.75,21,5,99.0695348298139,18.7468407482324"
"99.0695340898002,18.7450331630919,118,178,507229.5313,2072717.75,507429.5313,2072517.75,22,5,99.0695340898002,18.7450331630919"
"99.0695333498711,18.7432255776027,119,179,507229.5313,2072517.75,507429.5313,2072317.75,23,5,99.0695333498711,18.7432255776027"
"99.0695326100264,18.7414179917646,120,180,507229.5313,2072317.75,507429.5313,2072117.75,24,5,99.0695326100264,18.7414179917646"
"99.0695318702663,18.7396104055778,121,181,507229.5313,2072117.75,507429.5313,2071917.75,25,5,99.0695318702663,18.7396104055778"
"99.0695311305907,18.7378028190424,122,182,507229.5313,2071917.75,507429.5313,2071717.75,26,5,99.0695311305907,18.7378028190424"
"99.0695303909997,18.7359952321582,123,183,507229.5313,2071717.75,507429.5313,2071517.75,27,5,99.0695303909997,18.7359952321582"
"99.0698264221464,18.7346221893512,124,184,507229.5313,2071517.75,507429.5313,2071317.75,28,5,99.0698264221464,18.7346221893512"
"99.0720752286865,18.7805257880777,125,189,507429.5313,2076717.75,507629.5313,2076517.75,2,6,99.0720752286865,18.7805257880777"
"99.0714819129388,18.779328213662,126,190,507429.5313,2076517.75,507629.5313,2076317.75,3,6,99.0714819129388,18.779328213662"
"99.0714451537054,18.7775689263234,127,191,507429.5313,2076317.75,507629.5313,2076117.75,4,6,99.0714451537054,18.7775689263234"
"99.0714443920221,18.7757613471906,128,192,507429.5313,2076117.75,507629.5313,2075917.75,5,6,99.0714443920221,18.7757613471906"
"99.0714436304256,18.7739537677085,129,193,507429.5313,2075917.75,507629.5313,2075717.75,6,6,99.0714436304256,18.7739537677085"
"99.0714428689161,18.7721461878772,130,194,507429.5313,2075717.75,507629.5313,2075517.75,7,6,99.0714428689161,18.7721461878772"
"99.0714421074934,18.7703386076966,131,195,507429.5313,2075517.75,507629.5313,2075317.75,8,6,99.0714421074934,18.7703386076966"
"99.0714413461577,18.7685310271669,132,196,507429.5313,2075317.75,507629.5313,2075117.75,9,6,99.0714413461577,18.7685310271669"
"99.0714405849088,18.766723446288,133,197,507429.5313,2075117.75,507629.5313,2074917.75,10,6,99.0714405849088,18.766723446288"
"99.0714398237469,18.76491586506,134,198,507429.5313,2074917.75,507629.5313,2074717.75,11,6,99.0714398237469,18.76491586506"
"99.0714390626719,18.7631082834829,135,199,507429.5313,2074717.75,507629.5313,2074517.75,12,6,99.0714390626719,18.7631082834829"
"99.0714383016837,18.7613007015567,136,200,507429.5313,2074517.75,507629.5313,2074317.75,13,6,99.0714383016837,18.7613007015567"
"99.0714375407825,18.7594931192814,137,201,507429.5313,2074317.75,507629.5313,2074117.75,14,6,99.0714375407825,18.7594931192814"
"99.0714367799681,18.7576855366572,138,202,507429.5313,2074117.75,507629.5313,2073917.75,15,6,99.0714367799681,18.7576855366572"
